FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,CMD20_PARAM0,uint8_t,,"BCT_get_param_head(block, 20)[0]",HEX,,,,,,,,,,
,CMD20_PARAM1,uint8_t,,"BCT_get_param_head(block, 20)[1]",HEX,,,,,,,,,,
,CMD20_PARAM2,uint8_t,,"BCT_get_param_head(block, 20)[2]",HEX,,,,,,,,,,
,CMD20_PARAM3,uint8_t,,"BCT_get_param_head(block, 20)[3]",HEX,,,,,,,,,,
,CMD20_PARAM4,uint8_t,,"BCT_get_param_head(block, 20)[4]",HEX,,,,,,,,,,
,CMD20_PARAM5,uint8_t,,"BCT_get_param_head(block, 20)[5]",HEX,,,,,,,,,,
,CMD21_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 21)",HEX,,,,,,,,,,
,CMD21_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 21)",NONE,,,,,,,,,,
,CMD21_PARAM0,uint8_t,,"BCT_get_param_head(block, 21)[0]",HEX,,,,,,,,,,
,CMD21_PARAM1,uint8_t,,"BCT_get_param_head(block, 21)[1]",HEX,,,,,,,,,,
,CMD21_PARAM2,uint8_t,,"BCT_get_param_head(block, 21)[2]",HEX,,,,,,,,,,
,CMD21_PARAM3,uint8_t,,"BCT_get_param_head(block, 21)[3]",HEX,,,,,,,,,,
,CMD21_PARAM4,uint8_t,,"BCT_get_param_head(block, 21)[4]",HEX,,,,,,,,,,
,CMD21_PARAM5,uint8_t,,"BCT_get_param_head(block, 21)[5]",HEX,,,,,,,,,,
,CMD22_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 22)",HEX,,,,,,,,,,
